,Unnamed: 0,car_name,car_prices_in_rupee,kms_driven,fuel_type,transmission,ownership,manufacture,engine,Seats
0,0,Jeep Compass 2.0,10.03,86226,Diesel,Manual,1st Owner,2017,1956,5
1,1,Renault Duster RXZ,12.83,13248,Petrol,Automatic,1st Owner,2021,1330,5
2,2,Toyota Camry 2.5,16.4,60343,Petrol,Automatic,1st Owner,2016,2494,5
3,3,Honda Jazz VX,7.77,26696,Petrol,Automatic,1st Owner,2018,1199,5
4,4,Volkswagen Polo 1.2,5.15,69414,Petrol,Manual,1st Owner,2016,1199,5
5,5,Volkswagen Vento 1.2,7.66,49719,Petrol,Automatic,1st Owner,2017,1197,5
6,6,Volkswagen Vento 1.2,7.58,43688,Petrol,Automatic,1st Owner,2017,1197,5
7,7,Honda WR-V VX,11.6,14470,Diesel,Manual,1st Owner,2021,1498,5
8,8,Honda City i,6.99,21429,Petrol,Automatic,1st Owner,2015,1497,5
9,9,Renault Duster Petrol,7.53,31750,Petrol,Automatic,1st Owner,2017,1498,5
10,10,Maruti Baleno 1.2,6.43,38203,Petrol,Manual,1st Owner,2017,1197,5
11,11,Honda City i,5.43,110284,Petrol,Automatic,1st Owner,2014,1497,5
12,12,Mahindra XUV300 W6,8.62,10381,Petrol,Manual,1st Owner,2020,1197,5
13,13,Jeep Compass 1.4,16.78,32378,Petrol,Automatic,1st Owner,2019,1368,5
14,14,Honda City V,10.03,38906,Petrol,Manual,1st Owner,2020,1498,5
15,15,Hyundai Grand i10,5.63,59313,Petrol,Automatic,2nd Owner,2016,1197,5
16,16,Hyundai i20 1.4,6.67,85672,Diesel,Manual,1st Owner,2017,1396,5
17,17,Maruti Ciaz 1.4,6.73,34971,Petrol,Manual,2nd Owner,2017,1373,5
18,18,Nissan Micra XL,3.21,35894,Petrol,Manual,2nd Owner,2015,1198,5
19,19,Maruti Ciaz Alpha,8.5,56000,Petrol,Automatic,1st Owner,2019,1462,5
20,20,Maruti Swift Dzire,4.34,56568,Petrol,Manual,1st Owner,2014,1197,5
21,21,Renault KWID RXT,3.11,48872,Petrol,Manual,1st Owner,2017,799,5
22,22,Renault KWID RXL,3.7,17346,Petrol,Manual,1st Owner,2019,799,5
23,23,Jeep Compass 2.0,15.88,15414,Diesel,Manual,1st Owner,2019,1956,5
